Venue Name(zh),Street Address #1(zh),Venue Name(en),Street Address #1(en),Record Owner
01. csl 專門店 (香港銅鑼灣怡和街22號1樓，2樓及地下1 & 2號舖),香港銅鑼灣怡和街22號1樓，2樓及地下1 & 2號舖,"01. csl Shop (Shop 1 & 2 G/F, 1/F & 2/F, No. 22 Yee Wo Street, Causeway Bay, HK)","Shop 1 & 2 G/F, 1/F & 2/F, No. 22 Yee Wo Street, Causeway Bay, HK",005BV000000IfqxYAC
03. csl 專門店 (香港中環德輔道中 112-114 號地下),香港中環德輔道中 112-114 號地下,"03. csl Shop (G/F, 112-114 Des Voeux Road Central, HK)","G/F, 112-114 Des Voeux Road Central, HK",005BV000000IfqxYAC
05. csl 專門店 (香港灣仔莊士敦道135號東興大廈地下F號舖),香港灣仔莊士敦道135號東興大廈地下F號舖,"05. csl Shop (Shop F, G/F, Tung Hing Building,  135 Johnston Road, HK)","Shop F, G/F, Tung Hing Building,  135 Johnston Road, HK",005BV000000IfqxYAC
04. 1O1O Center (香港中環52-54號威靈頓街地下),香港中環52-54號威靈頓街地下,"04. 1O1O Center (G/F, 52-54 Wellington Street, Central, HK)","G/F, 52-54 Wellington Street, Central, HK",005BV000000IfqxYAC
02. 1O1O Center (香港銅鑼灣怡和街8-14號廣安大廈地下A號舖),香港銅鑼灣怡和街8-14號廣安大廈地下A號舖,"02. 1O1O Center (Shop A, G/F, Kwong On Building, 8-14 Yee Wo Street, CWB, HK)","Shop A, G/F, Kwong On Building, 8-14 Yee Wo Street, Causeway Bay, HK",005BV000000IfqxYAC
09. csl 專門店 (九龍旺角西洋菜南街2J-2Q新江大樓1樓及地下8號舖),九龍旺角西洋菜南街2J-2Q新江大樓1樓及地下8號舖,"09. csl Shop (Shop 8, G & 1F, Sun Kong House, 2J-Q Sai Yeung Choi ST South, MK)","Shop 8, G/F & 1/F, Sun Kong House, 2J - Q Sai Yeung Choi Street South, Mongkok, KLN",005BV000000IfqxYAC
12. csl 專門店 (九龍深水埗福華街132-134號地下C3及D號舖 ),九龍深水埗福華街132-134號地下C3及D號舖 ,"12. csl Shop (Shop Nos. C3 & D, G/F, Nos. 132 & 134 Fuk Wa Street, Kowloon )","Shop Nos. C3 & D, G/F, Nos. 132 & 134 Fuk Wa Street, Kowloon ",005BV000000IfqxYAC
08. csl 專門店 (九龍九龍灣德福廣場P45-47號商店),九龍九龍灣德福廣場P45-47號商店,"08. csl Shop (Shop P45-47, Telford Plaza, Kowloon Bay, KLN)","Shop P45-47, Telford Plaza, Kowloon Bay, KLN",005BV000000IfqxYAC
"13. csl 專門店 ( 九龍尖沙咀金馬倫道1212A號, 恆信商業大廈地舖)"," 九龍尖沙咀金馬倫道1212A號, 恆信商業大廈地舖","13. csl Shop (G/F, Hang Shun Commercial Building, No. 12&12A Cameron Road, TST)","Shop on G/F of Hang Shun Commercial Building, No. 12 & 12A Cameron Road, Tsim Sha Tsui, Kowloon",005BV000000IfqxYAC
10. csl 專門店 (九龍旺角彌敦道750號始創中心地下G21及 22A號舖),九龍旺角彌敦道750號始創中心地下G21及 22A號舖,"10. csl Shop (Shop G21 & 22A, G/F, Pioneer Center, No. 750 Nathan Road, KLN)","Shop G21 & 22A, G/F, Pioneer Center, No. 750 Nathan Road, Mongkok Road, KLN",005BV000000IfqxYAC
07. csl 專門店 (九龍佐敦道20-24號鴻運大廈地下E號舖),九龍佐敦道20-24號鴻運大廈地下E號舖,"07. csl Shop (Shop E, G/F, Lucky House, 20-24 Jordan Rd, Jordan, KLN)","Shop E, G/F, Lucky House, 20-24 Jordan Rd, Jordan, KLN",005BV000000IfqxYAC
06. csl 專門店 (九龍鑽石山荷里活廣場2樓246號舖),九龍鑽石山荷里活廣場2樓246號舖,"06. csl Shop (Shop  246, 2/F, Plaza Hollywood,  Diamond Hill, KLN)","Shop  246, 2/F, Plaza Hollywood,  Diamond Hill, KLN",005BV000000IfqxYAC
14. 1O1O Center (九龍尖沙咀漢口道28號亞太中心10-11號地下及9-11號1樓),九龍尖沙咀漢口道28號亞太中心10-11號地下及9-11號1樓,"14. 1O1O Center (Shop 10-11 G/F & Shop 9-11 1/F, Hong Kong Pacific Centre, TST)","Shop 10-11 (G/F) & Shop 9-11 (1/F), Hong Kong Pacific Centre, 28 Hankow Road, TST, KLN",005BV000000IfqxYAC
11. 1O1O Center (九龍旺角西洋菜南街1N兆萬中心地下G8及G9號舖),九龍旺角西洋菜南街1N兆萬中心地下G8及G9號舖,"11. 1O1O Center (Shop G8&G9 G/F, CTMA Centre, 1N Sai Yeung Choi ST South, KLN)","Shop G8 & G9, G/F, CTMA Centre, No. 1N Sai Yeung Choi Street South, KLN",005BV000000IfqxYAC
15. 「io.t by HKT」概念店 (九龍尖沙咀柯士甸道西1號圓方2樓2001A 號舖),九龍尖沙咀柯士甸道西1號圓方2樓2001A 號舖,"15. io.t by HKT Concept Store (Shop 2001A, 2/F, ELEMENTS, 1 Austin Road W., TST)","Shop 2001A, 2/F, ELEMENTS, 1 Austin Road West, Tsim Sha Tsui, KLN",005BV000000IfqxYAC
23. csl 專門店 (新界屯門市廣場第一期地下G127-G128號舖),新界屯門市廣場第一期地下G127-G128號舖,"23. csl Shop (Shop G127- G128, G/F, Tuen Mun Town Plaza, Phase I, NT","Shop G127- G128, G/F, Tuen Mun Town Plaza, Phase I, NT",005BV000000IfqxYAC
22. csl 專門店 (新界荃灣眾安街53號地下),新界荃灣眾安街53號地下,"22. csl Shop (G/F, No.53 Chung On Street, Tsuen Wan, NT)","G/F, No.53 Chung On Street, Tsuen Wan, NT",005BV000000IfqxYAC
24. csl 專門店 (新界元朗教育路1號元朗千色匯地下10 – 11 號舖),新界元朗教育路1號元朗千色匯地下10 – 11 號舖,"24. csl Shop (Shop 10 & 11, G/F, KOLOUR.Yuen Long, 1 Kau Yuk Road, Yuen Long)","Shop 10 & 11, G/F, KOLOUR.Yuen Long, 1 Kau Yuk Road, Yuen Long, NT",005BV000000IfqxYAC
16. csl 專門店 (新界沙田廣場第3層14 & 15A號舖),新界沙田廣場第3層14 & 15A號舖,"16. csl Shop (Shop 14 & 15A, 3/F, Shatin Plaza, Shatin , NT )","Shop 14 & 15A, 3/F, Shatin Plaza, Shatin , NT ",005BV000000IfqxYAC
19. csl 專門店 (新界大埔大埔超級城 A 區 14-15號商店),新界大埔大埔超級城 A 區 14-15號商店,"19. csl Shop (Shop 14-15, Zone A, Tai Po Mega Mall)","Shop 14-15, Zone A, Tai Po Mega Mall",005BV000000IfqxYAC
18. csl 專門店 (新界上水智昌路3號上水中心商場2樓 2023-2024號舖),新界上水智昌路3號上水中心商場2樓 2023-2024號舖,"18. csl Shop (Shop 2023 - 2024, 2/F, Sheung Shui Centre, 3 Chi Cheong Road)","Shop 2023 - 2024, 2/F, Sheung Shui Centre, 3 Chi Cheong Road, Sheung Shui, NT",005BV000000IfqxYAC
25. csl 專門店 (新界元朗青山公路175號澤榮閣地下A號舖),新界元朗青山公路175號澤榮閣地下A號舖,"25. csl Shop (Shop A, G/F, Chek Wing Court, No.175 Castle Peak Road, Yuen Long)","Shop A, G/F, Chek Wing Court, No.175 Castle Peak Road, Yuen Long, NT",005BV000000IfqxYAC
21. csl 專門店 (新界將軍澳唐俊街9號Popcorn二期1樓F73號舖),新界將軍澳唐俊街9號Popcorn二期1樓F73號舖,"21. csl Shop (Shop F73, 1/F, Popcorn 2, No.9 Tong Chun Street, Tseung Kwan O)","Shop F73, 1/F, Popcorn 2, No.9 Tong Chun Street, Tseung Kwan O, NT",005BV000000IfqxYAC
20. csl 專門店 (新界大圍車公廟路18號圍方5樓523A 舖),新界大圍車公廟路18號圍方5樓523A 舖,"20. csl Shop (Shop 523A, 5/F, The Wai, 18 Che Kung Miu Road, Tai Wai, NT)","Shop 523A, 5/F, The Wai, 18 Che Kung Miu Road, Tai Wai, NT",005BV000000IfqxYAC
17. 1O1O Center (新界沙田新城市廣場一期 6樓616號舖),新界沙田新城市廣場一期 6樓616號舖,"17. 1O1O Center (Shop 616,  6/F, New Town Plaza Phase I, Shatin, NT)","Shop 616,  6/F, New Town Plaza Phase I, Shatin, NT",005BV000000IfqxYAC
